NomCommune	Surface	Code insee	Pop 90	Pop 99	lon	lat	x mètres	y mètres	pixel x	pixel y
Vincennes	192.6	94080	42267	43595	2.4383762315	48.847295896	69885.716664631	78583.5978953	349.4285833232	392.9179894765
Bussy-Saint-Georges	1527.2	77058	1545	9194	2.722809072	48.8307573569	90752.584059356	76633.7659339197	453.7629202968	383.1688296696
Les Clayes-sous-Bois	610.6	78165	16819	17059	1.9846426017	48.8180826881	36547.575410579	75668.0695749093	182.7378770529	378.3403478745
Paris 12ème	1629.4	75112	130257	136591	2.4201238417	48.8350749524	68536.287184602	77234.42723192	342.681435923	386.1721361596
Villepreux	1046.1	78674	8776	9601	2.0128243088	48.8315355936	38635.435336407	77137.5671708798	193.177176682	385.6878358544
Jossigny	965.3	77237	529	530	2.7626732187	48.830873067	93679.0395074	76637.0976974694	468.395197537	383.1854884873
Vaucresson	308.5	92076	8118	8141	2.160166266	48.8414024529	49462.60994319	78109.5023379698	247.313049716	390.5475116898
Bry-sur-Marne	334.7	94015	13826	15000	2.5239315944	48.8386011171	76158.39006757	77575.5559231499	380.7919503379	387.8777796158
Gressey	721.5	78285	384	475	1.6026743127	48.8321121481	8531.3189711031	77656.2580490001	42.6565948555	388.281290245
Richebourg	1061.1	78520	1068	1378	1.6344070393	48.8248823337	10846.5035364811	76811.7273403099	54.2325176824	384.0586367016
Béhoust	541.4	78053	322	374	1.7248279861	48.8327515382	17498.266687252	77575.6052599596	87.4913334363	387.8780262998
Saint-Mandé	92.1	94067	18684	19697	2.4192251055	48.8414616291	68475.541285578	77945.0477829501	342.3777064279	389.7252389148
Montolivet	1644.9	77314	168	203	3.4321428952	48.8280109989	142826.346022967	76379.4884731798	714.1317301148	381.8974423659
Guérard	1984	77219	1781	1970	2.9511363701	48.8190123255	107513.271857085	75293.2082160395	537.5663592854	376.4660410802
Saint-Germain-de-la-Grange	524.7	78550	1462	1622	1.9040553523	48.8318847028	30652.044885886	77281.7004776895	153.2602244294	386.4085023884
Pommeuse	1282.2	77371	1808	2476	3.0059299864	48.8178500289	111536.594260562	75162.8772675199	557.6829713028	375.8143863376
Lognes	399.8	77258	12973	14215	2.6340371939	48.8339151822	84237.5103355231	77011.4285391094	421.1875516776	385.0571426955
Coulommiers	1088.5	77131	13087	13852	3.091135421	48.812454608	117793.776200102	74566.8014264898	588.9688810005	372.8340071324
Saint-Barthélemy	1505.4	77402	327	361	3.364285683	48.8205826708	137848.550589005	75528.4052501498	689.242752945	377.6420262507
Paris 13ème	716.8	75113	171098	171533	2.3628194615	48.8287024336	64324.32064486	76558.2900046296	321.6216032243	382.7914500231
Paris 14ème	557.9	75114	136574	132844	2.3271796766	48.8290721632	61708.336462585	76621.1027869694	308.5416823129	383.1055139348
