nomcom,surf,insee,pop90,pop99,lon,lat,gares,tx_hlm,dece9909,jeunesse,p09_pop,p99_pop,d90_pop,d82_pop,d75_pop,d68_pop,median,tx_appart
Cély,615.50000000000,77065,960.00000000000,1010.00000000000,2.52673076379468,48.4599656139076,0,0,64,1.61755952380952,1180,1010,960,822,556,445,28308,1.38248847926267
Vigny,681.30000000000,95658,1004.00000000000,1036.00000000000,1.92974273068298,49.0804431542282,0,15.4761912279575,57,1.56456456456456,1081,1035,1004,953,919,709,25006,12.4019595400665
Forges,1334.60000000000,77194,286.00000000000,345.00000000000,2.94891841019783,48.422490769536,0.00555079442978688,11.9047632615799,21,1.7027027027027,410,345,286,271,262,211,22927,12.6764519980336
Plessis-Saint-Benoist,923.30000000000,91495,259.00000000000,273.00000000000,2.0027956853547,48.445307605003,0,0,21,1.62903225806452,307,273,259,221,175,167,21618,0
Saint-Hilaire,679.40000000000,91556,338.00000000000,379.00000000000,2.08754535717042,48.4408335303745,0,0,30,1.77380952380952,367,379,338,249,224,191,27022,2.55081162187969
Monnerville,833.30000000000,91414,375.00000000000,351.00000000000,2.03736475316038,48.3475620144531,98.4570330410243,0,36,2.2183908045977,402,351,375,330,264,282,21332,7.64175741644762
Courcelles-en-Bassée,1077.90000000000,77133,202.00000000000,204.00000000000,3.05311342339403,48.4125732920824,0,0,20,1.35555555555556,223,204,202,213,128,105,23349,0
La Grande-Paroisse,2905.20000000000,77210,2392.00000000000,2491.00000000000,2.89826835033184,48.3917996565105,44.7808135116718,13.5294117647059,177,1.13777089783282,2598,2489,2392,2219,1950,1572,20988,5.39460539460539
Valpuiseaux,1884.90000000000,91629,542.00000000000,514.00000000000,2.30317811757454,48.3920695962625,0,3.03030266180484,36,1.24761904761905,618,513,542,388,298,256,24538,0.821567170341012
Noisy-sur-Ecole,2998.20000000000,77339,1561.00000000000,1823.00000000000,2.50874874771876,48.3777008588785,0,1.28205128205128,70,1.28216704288939,2001,1818,1561,1085,673,490,31489,7.58533501896334
Saint-Mammès,225.50000000000,77419,3007.00000000000,3084.00000000000,2.81951733307847,48.3867354092473,99.9999999692157,15.8285984612125,281,1.43182920912179,3211,3088,3007,2974,2949,2694,21309,19.8254211332312
Buno-Bonnevaux,1598.20000000000,91121,430.00000000000,518.00000000000,2.40703713705236,48.3569931776277,55.7365693723912,0,28,1.74901960784314,473,517,430,263,296,287,24128,1.1083605266119
Misy-sur-Yonne,615.70000000000,77293,515.00000000000,749.00000000000,3.09565231728181,48.3655354785208,0,0,108,1.7783595113438,960,750,515,404,409,335,18458,1.38061492419323
Montigny-sur-Loing,918.40000000000,77312,2553.00000000000,2796.00000000000,2.75085357412996,48.3413517174328,72.7698775169781,0,215,1.26202052944354,2779,2796,2553,2042,2152,1889,25096,8.59649122807017
La Genevraye,1336.10000000000,77202,528.00000000000,579.00000000000,2.7532149322161,48.3149834783616,22.2044561855703,1.04166662368055,29,1.45641025641026,625,579,528,507,507,541,21711,8.16186279662045
Angerville,2861.00000000000,91016,3012.00000000000,3265.00000000000,2.00197988040832,48.3104779242072,47.9917529560283,32.9341314916547,245,1.82965144820815,3573,3262,3012,2622,2597,1926,18846,21.4815529083654
Nanteau-sur-Essonne,1290.60000000000,77328,314.00000000000,394.00000000000,2.4265613000417,48.3209165253605,3.03591647096483,0,34,1.22680412371134,430,394,314,258,252,245,24875,0
Thoury-Férottes,1648.40000000000,77465,480.00000000000,609.00000000000,2.93972833027786,48.2978282136245,0,0,54,1.76811594202899,644,609,480,407,404,418,19706,1.1529561956435
Boissy-aux-Cailles,1640.90000000000,77041,280.00000000000,271.00000000000,2.49256305982077,48.3122610895385,0,0,24,1.67231638418079,319,271,280,180,160,187,25995,0
Gironville,1374.40000000000,77207,131.00000000000,172.00000000000,2.53394434978316,48.1622137547216,0,0,11,2.35632183908046,188,172,131,131,152,177,18882,0
Rumont,661.20000000000,77395,110.00000000000,124.00000000000,2.49492849658404,48.2706986261663,0,0,11,1.17857142857143,126,124,110,105,103,95,22175,0
Ormesson,379.80000000000,77348,203.00000000000,238.00000000000,2.65178023960657,48.24431820368,0.0497554439475889,0,26,1.45833333333333,261,238,203,175,148,150,23092,0
Burcy,700.10000000000,77056,144.00000000000,178.00000000000,2.52534272617012,48.2334531396253,0,0,14,0.893939393939394,151,178,144,137,131,158,20636,1.44841856340526
Bougligny,1639.60000000000,77045,644.00000000000,646.00000000000,2.66593686381092,48.1992324965491,1.01617538558096,0,53,1.52757793764988,715,646,644,569,560,564,21123,0.384132658882592
Moisson,999.20000000000,78410,662.00000000000,795.00000000000,1.66416567096234,49.0680333167471,0,3.63636483032705,58,1.40241796200345,922,794,662,604,462,387,22264,3.76223738504275
Vétheuil,435.40000000000,95651,732.00000000000,858.00000000000,1.7067168885085,49.0620586136533,0,0,76,1.24444444444444,886,854,732,689,687,527,22821,15.3846153846154
Longuesse,849.90000000000,95348,425.00000000000,511.00000000000,1.92609278406511,49.061707120434,0,0,15,1.54785478547855,529,511,425,310,304,246,26968,9.95196637646353
Chauvry,499.70000000000,95151,287.00000000000,279.00000000000,2.269913685967,49.0532016588252,0,0,19,1.72619047619048,299,278,287,263,250,240,26147,1.8025078369906
Lizy-sur-Ourcq,1120.40000000000,77257,3047.00000000000,3377.00000000000,3.01864465669474,49.0348299336415,46.4617737016366,66.5056276921882,347,1.95538847117795,3541,3377,3047,2891,2695,2386,16412,57.8827338129496
Méricourt,245.60000000000,78391,359.00000000000,360.00000000000,1.62418301083956,49.0374750725737,0,0,26,1.93650793650794,393,360,359,309,266,211,20411,11.4638783269962
Jeufosse,358.30000000000,78320,297.00000000000,346.00000000000,1.5371071060031,49.0347584539609,4.31740200714601,0,27,2.03240740740741,430,345,297,250,267,229,21657,5.26556477428627
Gaillon-sur-Montcient,500.40000000000,78261,599.00000000000,646.00000000000,1.89779970163347,49.0302389729817,20.5981676532174,0,27,2.0314465408805,679,646,599,516,489,358,25730,14.9253731343284
Domont,847.90000000000,95199,13226.00000000000,14883.00000000000,2.32309812443994,49.029903640418,75.0354805888933,52.1316345137941,997,1.61812297734628,14612,14878,13226,11047,10897,9016,22855,46.7257375556745
Vauréal,367.20000000000,95637,11717.00000000000,16206.00000000000,2.0244494722929,49.0296971398639,38.3115551998276,70.0621941315901,285,6.72614107883817,16059,16207,12045,866,662,607,21447,25.5244419937187
Nézel,132.00000000000,78451,806.00000000000,945.00000000000,1.8387775973204,48.9432878548763,99.9999999975794,2.083332676464,37,1.98945147679325,998,945,806,793,525,595,23881,4.37360394892866
Bezons,419.80000000000,95063,25680.00000000000,26263.00000000000,2.21154306895425,48.9260514745683,99.9999999810702,67.5247277326344,1560,2.51512163050625,28012,26312,25680,24019,25193,24475,17130,62.7907663186199
Bray-sur-Seine,213.40000000000,77051,2238.00000000000,2278.00000000000,3.2442335748271,48.4145337602578,0,34.5637583892617,415,1.18330605564648,2361,2278,2238,2116,2085,1913,16349,38.9336016096579
Voulx,1258.00000000000,77531,1548.00000000000,1763.00000000000,2.96983796633728,48.2850902806335,0,19.375,287,1.15117994100295,1739,1763,1548,1296,1247,1152,19729,11.2391930835735
Chaumontel,427.10000000000,95149,2933.00000000000,3250.00000000000,2.43601156116953,49.1280210053863,65.9325003325514,21.4876033057851,113,1.6819209039548,3265,3248,2933,2347,1463,869,25634,4.33694745621351
Fosses,364.20000000000,95250,9620.00000000000,9998.00000000000,2.49953396088566,49.0998899431142,46.260883976975,69.4621048683023,392,2.50342633382281,9598,9994,9620,8832,6453,2209,20756,20.458408138839
Moussy-le-Neuf,1486.00000000000,77322,2218.00000000000,2387.00000000000,2.60691948811977,49.0700977937241,0,30.9941526376013,86,2.61200716845878,2799,2386,2218,1740,1725,586,24550,10.0292862861138
Porcheville,456.70000000000,78501,2596.00000000000,2502.00000000000,1.76846788860238,48.9764163697991,98.4141174950629,10.2686068734717,156,1.65467625899281,2748,2506,2596,2740,2456,1779,21027,9.04259981592672
Ormesson-sur-Marne,344.40000000000,94055,10038.00000000000,9793.00000000000,2.53900065649486,48.7857020712074,38.5153906925774,5.43931631949356,636,1.17601440243734,9891,9792,10038,8674,8698,8277,25990,5.53894767028193
Bruyères-sur-Oise,892.20000000000,95116,3162.00000000000,3391.00000000000,2.32835375689684,49.161270331228,79.1150437011772,65.3522351797763,178,3.25377883850438,3565,3392,3162,1546,1582,962,19737,16.6262368603129
Ronquerolles,476.40000000000,95529,696.00000000000,742.00000000000,2.21387609364535,49.1679282126177,0,0,62,1.31922398589065,855,741,696,652,545,533,26177,3.97428404441847
Port-Villez,536.90000000000,78503,164.00000000000,176.00000000000,1.51624181261689,49.0581360717591,0,0,17,1.5531914893617,240,176,164,168,183,178,24426,2.22070379227878
Persan,512.60000000000,95487,10659.00000000000,9600.00000000000,2.26999908785884,49.1497121493237,100.000000007935,70.8383036170376,630,2.56442392260334,10424,9605,10659,10045,9347,6587,15322,54.5496843164518
Nointel,324.80000000000,95452,782.00000000000,754.00000000000,2.29485682387048,49.1285547938594,96.0253883365764,0,45,1.61728395061728,731,755,782,471,508,429,25939,14.7482014388489
Amenucourt,879.10000000000,95012,170.00000000000,173.00000000000,1.64908123712001,49.1093390131687,0,0,11,3.07575757575758,189,171,170,127,128,127,22531,1.32885514018692
Belloy-en-France,945.50000000000,95056,1540.00000000000,1536.00000000000,2.37109884097164,49.0924613663245,89.1702815693212,0,102,2.39825218476904,1864,1536,1540,1645,1710,1065,24562,6.84543685937455
Nerville-la-Forêt,669.70000000000,95445,577.00000000000,749.00000000000,2.27641640198257,49.0901136312833,12.0184501473485,0,38,1.48461538461538,660,747,577,478,295,254,27723,1.29310344827586
Oissery,1514.50000000000,77344,1465.00000000000,1546.00000000000,2.81783345852021,49.0705819211551,0,19.3181818181818,72,5.49889624724062,2128,1546,1465,577,437,417,22907,7.71558245083207
Le Mesnil-Amelot,980.00000000000,77291,705.00000000000,565.00000000000,2.59713660059587,49.0164982831483,92.8386660439551,48.5549121608807,53,3.47719298245614,870,565,705,823,1458,559,19398,38.7627026854831
Herblay,1263.60000000000,95306,22135.00000000000,23083.00000000000,2.14916157280403,49.0006757826123,83.0293128094972,43.54352819361,1191,1.96357842021398,25763,23080,22135,19647,16397,12264,24649,33.5264088873065
Jouy-le-Moutier,738.90000000000,95323,16910.00000000000,17804.00000000000,2.03322123948204,49.011164795068,8.99177740042812,78.1902492143716,398,4.63909046927915,16656,17788,16582,6473,1183,1087,21364,24.0777182395834
Beauchamp,299.20000000000,95051,8934.00000000000,8986.00000000000,2.19184395565277,49.0154405947407,97.4389154832394,51.7278351314109,602,1.24864598719842,8777,8984,8934,8319,7798,6324,26414,29.3110853163088
Chambry,973.60000000000,77077,738.00000000000,841.00000000000,2.89468466256167,48.9988116008407,0,0,56,1.82478632478632,891,842,738,691,673,625,21496,11.8151026100817
Tancrou,1226.10000000000,77460,267.00000000000,272.00000000000,3.08024171576318,49.0039058734685,8.93480220568748,0,15,3.00793650793651,350,270,267,222,226,250,23121,0
Chamigny,1427.10000000000,77078,1237.00000000000,1145.00000000000,3.14161597497895,48.9847832178928,2.66815673043393,0,71,1.64790764790765,1270,1145,1237,1118,769,496,22073,4.03367464975794
Verneuil-sur-Seine,955.50000000000,78642,12499.00000000000,14538.00000000000,1.96266250729843,48.986592651898,97.1778943348833,62.2612607004637,825,2.00855713533439,15174,14533,12499,11303,9988,7405,25906,54.8915207497622
Arnouville-lès-Gonesse,288.20000000000,95019,12223.00000000000,12291.00000000000,2.41734383711668,48.9859066625293,97.8110309546777,34.1595117293604,845,1.71867431485022,13321,12262,12223,10530,11085,11114,18050,27.6044996311778
